,Guage 1 (hPa),Gauge 2 (hPa)
2021-12-10 14:35:14,8.87e-9,4.99e-9
2021-12-10 14:36:14,8.83e-9,4.97e-9
2021-12-10 14:37:15,8.77e-9,4.97e-9
2021-12-10 14:38:16,8.75e-9,4.92e-9
2021-12-10 14:39:16,8.69e-9,4.89e-9
2021-12-10 14:40:17,8.69e-9,4.89e-9
2021-12-10 14:41:17,8.69e-9,4.87e-9
2021-12-10 14:42:18,8.68e-9,4.89e-9
2021-12-10 14:43:19,8.59e-9,4.84e-9
2021-12-10 14:44:19,8.55e-9,4.81e-9
2021-12-10 14:45:20,8.51e-9,4.81e-9
2021-12-10 14:46:20,8.52e-9,4.81e-9
2021-12-10 14:47:21,8.53e-9,4.81e-9
2021-12-10 14:48:22,8.52e-9,4.78e-9
2021-12-10 14:49:22,8.43e-9,4.8e-9
2021-12-10 14:50:23,8.39e-9,4.77e-9
2021-12-10 14:51:23,8.35e-9,4.73e-9
2021-12-10 14:52:24,8.3e-9,4.74e-9
2021-12-10 14:53:25,8.28e-9,4.7e-9
2021-12-10 14:54:25,8.28e-9,4.69e-9
2021-12-10 14:55:26,8.26e-9,4.69e-9
2021-12-10 14:56:26,8.27e-9,4.69e-9
2021-12-10 14:57:27,8.19e-9,4.68e-9
2021-12-10 14:58:28,8.2e-9,4.66e-9
2021-12-10 14:59:29,8.11e-9,4.64e-9
2021-12-10 15:00:29,8.11e-9,4.63e-9
2021-12-10 15:01:30,8.09e-9,4.6e-9
2021-12-10 15:02:30,8.07e-9,4.63e-9
2021-12-10 15:03:31,8.09e-9,4.61e-9
2021-12-10 15:04:32,8.09e-9,4.6e-9
2021-12-10 15:05:32,8.03e-9,4.59e-9
2021-12-10 15:06:33,8.02e-9,4.58e-9
2021-12-10 15:07:33,8.0e-9,4.56e-9
2021-12-10 15:08:34,7.96e-9,4.57e-9
2021-12-10 15:09:35,7.99e-9,4.57e-9
2021-12-10 15:10:35,8.01e-9,4.58e-9
2021-12-10 15:11:36,8.01e-9,4.57e-9
2021-12-10 15:12:36,8.02e-9,4.57e-9
2021-12-10 15:13:37,7.96e-9,4.55e-9
2021-12-10 15:14:38,7.93e-9,4.54e-9
2021-12-10 15:15:38,7.88e-9,4.52e-9
2021-12-10 15:16:39,7.86e-9,4.53e-9
2021-12-10 15:17:40,7.86e-9,4.52e-9
2021-12-10 15:18:40,7.9e-9,4.53e-9
2021-12-10 15:19:41,7.9e-9,4.53e-9
2021-12-10 15:20:42,7.91e-9,4.55e-9
2021-12-10 15:21:42,7.9e-9,4.55e-9
2021-12-10 15:22:43,7.89e-9,4.53e-9
2021-12-10 15:23:44,7.9e-9,4.54e-9
2021-12-10 15:24:44,7.91e-9,4.56e-9
2021-12-10 15:25:45,7.93e-9,4.56e-9
2021-12-10 15:26:45,7.99e-9,4.57e-9
2021-12-10 15:27:46,7.94e-9,4.56e-9
2021-12-10 15:28:47,7.92e-9,4.55e-9
2021-12-10 15:29:47,7.99e-9,4.56e-9
2021-12-10 15:30:48,7.95e-9,4.58e-9
2021-12-10 15:31:49,7.92e-9,4.56e-9
2021-12-10 15:32:49,7.96e-9,4.56e-9
2021-12-10 15:33:50,7.99e-9,4.6e-9
2021-12-10 15:34:50,8.02e-9,4.6e-9
2021-12-10 15:35:51,8.04e-9,4.6e-9
2021-12-10 15:36:52,8.02e-9,4.59e-9
2021-12-10 15:37:52,8.01e-9,4.58e-9
2021-12-10 15:38:53,8.02e-9,4.61e-9
2021-12-10 15:39:54,8.03e-9,4.6e-9
2021-12-10 15:40:54,8.07e-9,4.63e-9
2021-12-10 15:41:55,8.08e-9,4.63e-9
2021-12-10 15:42:55,8.12e-9,4.66e-9
2021-12-10 15:43:56,8.16e-9,4.67e-9
2021-12-10 15:44:57,8.18e-9,4.69e-9
2021-12-10 15:45:57,8.2e-9,4.68e-9
2021-12-10 15:46:58,8.19e-9,4.68e-9
2021-12-10 15:47:59,8.21e-9,4.72e-9
2021-12-10 15:48:59,8.24e-9,4.73e-9
2021-12-10 15:50:00,8.28e-9,4.73e-9
2021-12-10 15:51:00,8.27e-9,4.75e-9
2021-12-10 15:52:01,8.3e-9,4.76e-9
2021-12-10 15:53:02,8.29e-9,4.74e-9
2021-12-10 15:54:02,8.26e-9,4.72e-9
2021-12-10 15:55:03,8.25e-9,4.75e-9
2021-12-10 15:56:03,8.27e-9,4.76e-9
2021-12-10 15:57:04,8.26e-9,4.76e-9
2021-12-10 15:58:05,8.27e-9,4.74e-9
2021-12-10 15:59:05,8.25e-9,4.76e-9
2021-12-10 16:00:06,8.27e-9,4.73e-9
2021-12-10 16:01:06,8.21e-9,4.74e-9
2021-12-10 16:02:07,8.25e-9,4.75e-9
2021-12-10 16:03:08,8.28e-9,4.78e-9
2021-12-10 16:04:08,8.29e-9,4.79e-9
2021-12-10 16:05:09,8.3e-9,4.79e-9
2021-12-10 16:06:09,8.32e-9,4.8e-9
2021-12-10 16:07:10,8.33e-9,4.78e-9
2021-12-10 16:08:11,8.3e-9,4.78e-9
2021-12-10 16:09:11,8.29e-9,4.79e-9
2021-12-10 16:10:12,8.22e-9,4.76e-9
2021-12-10 16:11:13,8.23e-9,4.78e-9
2021-12-10 16:12:13,8.27e-9,4.77e-9
2021-12-10 16:13:14,8.3e-9,4.77e-9
2021-12-10 16:14:14,8.3e-9,4.8e-9
2021-12-10 16:15:15,8.23e-9,4.78e-9
2021-12-10 16:16:15,8.11e-9,4.74e-9
2021-12-10 16:17:16,8.07e-9,4.71e-9
2021-12-10 16:18:17,8.07e-9,4.7e-9
2021-12-10 16:19:17,8.15e-9,4.72e-9
2021-12-10 16:20:18,8.2e-9,4.79e-9
2021-12-10 16:21:19,8.13e-9,4.74e-9
2021-12-10 16:22:19,8.06e-9,4.71e-9
2021-12-10 16:23:20,7.97e-9,4.67e-9
2021-12-10 16:24:20,7.91e-9,4.64e-9
2021-12-10 16:25:21,7.89e-9,4.62e-9
2021-12-10 16:26:22,7.92e-9,4.64e-9
2021-12-10 16:27:22,8.04e-9,4.68e-9
2021-12-10 16:28:23,8.11e-9,4.71e-9
2021-12-10 16:29:23,8.13e-9,4.7e-9
2021-12-10 16:30:24,8.17e-9,4.74e-9
2021-12-10 16:31:25,8.25e-9,4.76e-9
2021-12-10 16:32:25,8.3e-9,4.79e-9
2021-12-10 16:33:26,8.37e-9,4.82e-9
2021-12-10 16:34:26,8.45e-9,4.87e-9
2021-12-10 16:35:27,8.53e-9,4.91e-9
2021-12-10 16:36:27,8.58e-9,4.95e-9
2021-12-10 16:37:28,8.6e-9,4.95e-9
2021-12-10 16:38:29,8.64e-9,4.98e-9
2021-12-10 16:39:29,8.64e-9,4.97e-9
2021-12-10 16:40:30,8.54e-9,4.94e-9
2021-12-10 16:41:31,8.5e-9,4.94e-9
2021-12-10 16:42:31,8.52e-9,4.95e-9
2021-12-10 16:43:32,8.57e-9,4.96e-9
2021-12-10 16:44:33,8.63e-9,4.99e-9
2021-12-10 16:45:33,8.63e-9,4.98e-9
2021-12-10 16:46:34,8.58e-9,5.0e-9
2021-12-10 16:47:34,8.62e-9,5.01e-9
2021-12-10 16:48:35,8.57e-9,4.97e-9
2021-12-10 16:49:36,8.63e-9,4.99e-9
2021-12-10 16:50:36,8.62e-9,5.0e-9
2021-12-10 16:51:37,8.64e-9,5.02e-9
2021-12-10 16:52:38,8.63e-9,5.03e-9
2021-12-10 16:53:38,8.62e-9,5.03e-9
2021-12-10 16:54:39,8.62e-9,5.02e-9
2021-12-10 16:55:39,8.66e-9,5.02e-9
2021-12-10 16:56:40,8.67e-9,5.03e-9
2021-12-10 16:57:41,8.7e-9,5.06e-9
2021-12-10 16:58:41,8.73e-9,5.06e-9
2021-12-10 16:59:42,8.68e-9,5.06e-9
2021-12-10 17:00:43,8.57e-9,5.02e-9
2021-12-10 17:01:43,8.51e-9,5.0e-9
2021-12-10 17:02:44,8.51e-9,4.98e-9
2021-12-10 17:03:45,8.52e-9,4.98e-9
2021-12-10 17:04:45,8.57e-9,4.98e-9
2021-12-10 17:05:46,8.64e-9,5.02e-9
2021-12-10 17:06:46,8.7e-9,5.05e-9
2021-12-10 17:07:47,8.77e-9,5.09e-9
2021-12-10 17:08:48,8.79e-9,5.1e-9
2021-12-10 17:09:48,8.77e-9,5.12e-9
2021-12-10 17:10:49,8.8e-9,5.1e-9
2021-12-10 17:11:50,8.82e-9,5.11e-9
2021-12-10 17:12:50,8.84e-9,5.16e-9
2021-12-10 17:13:51,8.9e-9,5.14e-9
2021-12-10 17:14:52,8.89e-9,5.16e-9
2021-12-10 17:15:52,8.87e-9,5.15e-9
2021-12-10 17:16:53,8.89e-9,5.16e-9
2021-12-10 17:17:53,8.86e-9,5.16e-9
2021-12-10 17:18:54,8.83e-9,5.14e-9
2021-12-10 17:19:55,8.78e-9,5.12e-9
2021-12-10 17:20:55,8.73e-9,5.12e-9
2021-12-10 17:21:56,8.72e-9,5.11e-9
2021-12-10 17:22:57,8.72e-9,5.1e-9
2021-12-10 17:23:57,8.67e-9,5.09e-9
2021-12-10 17:24:58,8.62e-9,5.07e-9
2021-12-10 17:25:59,8.5e-9,5.02e-9
2021-12-10 17:26:59,8.39e-9,4.97e-9
2021-12-10 17:28:00,8.33e-9,4.93e-9
2021-12-10 17:29:01,8.26e-9,4.93e-9
2021-12-10 17:30:01,8.22e-9,4.92e-9
2021-12-10 17:31:02,8.22e-9,4.87e-9
2021-12-10 17:32:02,8.18e-9,4.86e-9
2021-12-10 17:33:03,8.12e-9,4.83e-9
2021-12-10 17:34:04,8.06e-9,4.8e-9
2021-12-10 17:35:05,8.03e-9,4.75e-9
2021-12-10 17:36:05,7.94e-9,4.73e-9
2021-12-10 17:37:06,7.88e-9,4.69e-9
2021-12-10 17:38:06,7.85e-9,4.69e-9
2021-12-10 17:39:07,7.79e-9,4.66e-9
2021-12-10 17:40:08,7.66e-9,4.63e-9
2021-12-10 17:41:08,7.61e-9,4.58e-9
2021-12-10 17:42:09,7.57e-9,4.56e-9
2021-12-10 17:43:09,7.5e-9,4.54e-9
2021-12-10 17:44:10,7.47e-9,4.5e-9
2021-12-10 17:45:11,7.44e-9,4.49e-9
2021-12-10 17:46:11,7.35e-9,4.46e-9
2021-12-10 17:47:12,7.31e-9,4.43e-9
2021-12-10 17:48:13,7.28e-9,4.41e-9
2021-12-10 17:49:13,7.22e-9,4.37e-9
2021-12-10 17:50:14,7.19e-9,4.34e-9
2021-12-10 17:51:14,7.15e-9,4.35e-9
2021-12-10 17:52:15,7.09e-9,4.33e-9
2021-12-10 17:53:16,7.05e-9,4.3e-9
2021-12-10 17:54:16,7.0e-9,4.26e-9
2021-12-10 17:55:17,6.94e-9,4.24e-9
2021-12-10 17:56:17,6.87e-9,4.2e-9
2021-12-10 17:57:18,6.8e-9,4.15e-9
2021-12-10 17:58:19,6.78e-9,4.16e-9
2021-12-10 17:59:19,6.73e-9,4.12e-9
2021-12-10 18:00:20,6.71e-9,4.13e-9
2021-12-10 18:01:21,6.71e-9,4.08e-9
2021-12-10 18:02:21,6.69e-9,4.1e-9
2021-12-10 18:03:22,6.67e-9,4.09e-9
2021-12-10 18:04:22,6.62e-9,4.05e-9
2021-12-10 18:05:23,6.61e-9,4.05e-9
2021-12-10 18:06:24,6.56e-9,4.0e-9
2021-12-10 18:07:24,6.49e-9,3.99e-9
2021-12-10 18:08:25,6.48e-9,3.99e-9
2021-12-10 18:09:25,6.45e-9,3.98e-9
2021-12-10 18:10:26,6.38e-9,3.93e-9
2021-12-10 18:11:27,6.33e-9,3.91e-9
2021-12-10 18:12:27,6.27e-9,3.88e-9
2021-12-10 18:13:28,6.22e-9,3.85e-9
2021-12-10 18:14:28,6.19e-9,3.85e-9
2021-12-10 18:15:29,6.16e-9,3.85e-9
2021-12-10 18:16:30,6.14e-9,3.81e-9
2021-12-10 18:17:30,6.1e-9,3.8e-9
2021-12-10 18:18:31,6.06e-9,3.79e-9
2021-12-10 18:19:31,5.99e-9,3.74e-9
2021-12-10 18:20:32,5.94e-9,3.71e-9
2021-12-10 18:21:33,5.89e-9,3.68e-9
2021-12-10 18:22:33,5.85e-9,3.68e-9
2021-12-10 18:23:34,5.84e-9,3.67e-9
2021-12-10 18:24:34,5.83e-9,3.65e-9
2021-12-10 18:25:35,5.8e-9,3.63e-9
2021-12-10 18:26:36,5.76e-9,3.61e-9
2021-12-10 18:27:36,5.7e-9,3.57e-9
2021-12-10 18:28:37,5.69e-9,3.55e-9
2021-12-10 18:29:38,5.65e-9,3.54e-9
2021-12-10 18:30:38,5.64e-9,3.54e-9
2021-12-10 18:31:39,5.64e-9,3.55e-9
2021-12-10 18:32:39,5.63e-9,3.52e-9
2021-12-10 18:33:40,5.64e-9,3.53e-9
2021-12-10 18:34:41,5.61e-9,3.52e-9
2021-12-10 18:35:41,5.59e-9,3.49e-9
2021-12-10 18:36:42,5.57e-9,3.49e-9
2021-12-10 18:37:42,5.53e-9,3.48e-9
2021-12-10 18:38:43,5.53e-9,3.46e-9
2021-12-10 18:39:44,5.5e-9,3.47e-9
2021-12-10 18:40:44,5.51e-9,3.46e-9
2021-12-10 18:41:45,5.49e-9,3.44e-9
2021-12-10 18:42:45,5.49e-9,3.42e-9
2021-12-10 18:43:46,5.46e-9,3.4e-9
2021-12-10 18:44:47,5.44e-9,3.4e-9
2021-12-10 18:45:47,5.44e-9,3.41e-9
2021-12-10 18:46:48,5.42e-9,3.38e-9
2021-12-10 18:47:49,5.45e-9,3.4e-9
2021-12-10 18:48:49,5.43e-9,3.39e-9
2021-12-10 18:49:50,5.39e-9,3.38e-9
2021-12-10 18:50:50,5.37e-9,3.38e-9
2021-12-10 18:51:51,5.37e-9,3.34e-9
2021-12-10 18:52:52,5.35e-9,3.34e-9
2021-12-10 18:53:52,5.34e-9,3.32e-9
2021-12-10 18:54:53,5.32e-9,3.32e-9
2021-12-10 18:55:54,5.31e-9,3.35e-9
2021-12-10 18:56:54,5.25e-9,3.3e-9
2021-12-10 18:57:55,5.23e-9,3.28e-9
2021-12-10 18:58:55,5.19e-9,3.25e-9
2021-12-10 18:59:56,5.18e-9,3.24e-9
2021-12-10 19:00:57,5.16e-9,3.22e-9
2021-12-10 19:01:57,5.16e-9,3.24e-9
2021-12-10 19:02:58,5.15e-9,3.23e-9
2021-12-10 19:03:59,5.14e-9,3.22e-9
2021-12-10 19:04:59,5.14e-9,3.2e-9
2021-12-10 19:06:00,5.1e-9,3.2e-9
2021-12-10 19:07:01,5.09e-9,3.2e-9
2021-12-10 19:08:01,5.04e-9,3.17e-9
2021-12-10 19:09:02,5.03e-9,3.17e-9
2021-12-10 19:10:02,5.0e-9,3.17e-9
2021-12-10 19:11:03,5.01e-9,3.16e-9
2021-12-10 19:12:04,5.0e-9,3.15e-9
2021-12-10 19:13:04,5.01e-9,3.14e-9
2021-12-10 19:14:05,4.96e-9,3.12e-9
2021-12-10 19:15:05,4.95e-9,3.14e-9
2021-12-10 19:16:06,4.93e-9,3.12e-9
2021-12-10 19:17:07,4.93e-9,3.09e-9
2021-12-10 19:18:07,4.93e-9,3.09e-9
2021-12-10 19:19:08,4.93e-9,3.07e-9
2021-12-10 19:20:09,4.93e-9,3.08e-9
2021-12-10 19:21:09,4.91e-9,3.06e-9
2021-12-10 19:22:10,4.88e-9,3.05e-9
2021-12-10 19:23:10,4.85e-9,3.06e-9
2021-12-10 19:24:11,4.84e-9,3.04e-9
2021-12-10 19:25:12,4.84e-9,3.04e-9
2021-12-10 19:26:12,4.82e-9,3.04e-9
2021-12-10 19:27:13,4.8e-9,3.02e-9
2021-12-10 19:28:14,4.79e-9,3.03e-9
2021-12-10 19:29:14,4.77e-9,3.0e-9
2021-12-10 19:30:15,4.74e-9,2.98e-9
2021-12-10 19:31:15,4.69e-9,2.94e-9
2021-12-10 19:32:16,4.7e-9,2.96e-9
2021-12-10 19:33:17,4.67e-9,2.96e-9
2021-12-10 19:34:17,4.65e-9,2.94e-9
2021-12-10 19:35:18,4.64e-9,2.94e-9
2021-12-10 19:36:18,4.63e-9,2.93e-9
2021-12-10 19:37:19,4.61e-9,2.9e-9
2021-12-10 19:38:20,4.58e-9,2.91e-9
2021-12-10 19:39:20,4.55e-9,2.89e-9
2021-12-10 19:40:21,4.56e-9,2.88e-9
2021-12-10 19:41:21,4.57e-9,2.91e-9
2021-12-10 19:42:22,4.59e-9,2.89e-9
2021-12-10 19:43:23,4.56e-9,2.87e-9
2021-12-10 19:44:23,4.55e-9,2.87e-9
2021-12-10 19:45:24,4.54e-9,2.85e-9
2021-12-10 19:46:25,4.5e-9,2.86e-9
2021-12-10 19:47:25,4.51e-9,2.85e-9
2021-12-10 19:48:26,4.48e-9,2.86e-9
2021-12-10 19:49:26,4.49e-9,2.86e-9
2021-12-10 19:50:27,4.49e-9,2.84e-9
2021-12-10 19:51:28,4.48e-9,2.83e-9
2021-12-10 19:52:28,4.47e-9,2.84e-9
2021-12-10 19:53:29,4.45e-9,2.82e-9
2021-12-10 19:54:29,4.41e-9,2.82e-9
2021-12-10 19:55:30,4.41e-9,2.79e-9
2021-12-10 19:56:31,4.42e-9,2.8e-9
2021-12-10 19:57:31,4.42e-9,2.79e-9
2021-12-10 19:58:32,4.38e-9,2.8e-9
2021-12-10 19:59:32,4.36e-9,2.8e-9
2021-12-10 20:00:33,4.36e-9,2.77e-9
2021-12-10 20:01:34,4.33e-9,2.78e-9
2021-12-10 20:02:34,4.32e-9,2.75e-9
2021-12-10 20:03:35,4.31e-9,2.76e-9
2021-12-10 20:04:36,4.32e-9,2.75e-9
2021-12-10 20:05:36,4.3e-9,2.76e-9
2021-12-10 20:06:37,4.28e-9,2.73e-9
2021-12-10 20:07:38,4.28e-9,2.75e-9
2021-12-10 20:08:38,4.28e-9,2.72e-9
2021-12-10 20:09:39,4.27e-9,2.72e-9
2021-12-10 20:10:39,4.24e-9,2.7e-9
2021-12-10 20:11:40,4.23e-9,2.7e-9
2021-12-10 20:12:41,4.23e-9,2.7e-9
2021-12-10 20:13:41,4.22e-9,2.69e-9
2021-12-10 20:14:42,4.22e-9,2.69e-9
2021-12-10 20:15:42,4.21e-9,2.68e-9
2021-12-10 20:16:43,4.2e-9,2.67e-9
2021-12-10 20:17:44,4.16e-9,2.68e-9
2021-12-10 20:18:44,4.16e-9,2.67e-9
2021-12-10 20:19:45,4.16e-9,2.68e-9
2021-12-10 20:20:45,4.17e-9,2.66e-9
2021-12-10 20:21:46,4.15e-9,2.67e-9
2021-12-10 20:22:47,4.16e-9,2.65e-9
2021-12-10 20:23:47,4.13e-9,2.63e-9
2021-12-10 20:24:48,4.1e-9,2.63e-9
2021-12-10 20:25:49,4.1e-9,2.63e-9
2021-12-10 20:26:49,4.08e-9,2.63e-9
2021-12-10 20:27:50,4.08e-9,2.64e-9
2021-12-10 20:28:51,4.08e-9,2.6e-9
2021-12-10 20:29:51,4.08e-9,2.6e-9
2021-12-10 20:30:52,4.06e-9,2.63e-9
2021-12-10 20:31:53,4.06e-9,2.58e-9
2021-12-10 20:32:53,4.03e-9,2.59e-9
2021-12-10 20:33:54,4.03e-9,2.58e-9
2021-12-10 20:34:55,4.06e-9,2.56e-9
2021-12-10 20:35:55,4.02e-9,2.58e-9
2021-12-10 20:36:56,4.01e-9,2.57e-9
2021-12-10 20:37:56,4.01e-9,2.57e-9
2021-12-10 20:38:57,3.98e-9,2.55e-9
2021-12-10 20:39:58,3.99e-9,2.54e-9
2021-12-10 20:40:58,3.97e-9,2.55e-9
2021-12-10 20:41:59,3.96e-9,2.54e-9
2021-12-10 20:42:59,3.97e-9,2.57e-9
2021-12-10 20:44:00,3.96e-9,2.54e-9
2021-12-10 20:45:01,3.96e-9,2.55e-9
2021-12-10 20:46:02,3.95e-9,2.53e-9
2021-12-10 20:47:02,3.94e-9,2.53e-9
2021-12-10 20:48:03,3.91e-9,2.52e-9
2021-12-10 20:49:04,3.91e-9,2.51e-9
2021-12-10 20:50:04,3.9e-9,2.51e-9
2021-12-10 20:51:05,3.92e-9,2.5e-9
2021-12-10 20:52:06,3.91e-9,2.51e-9
2021-12-10 20:53:06,3.9e-9,2.5e-9
2021-12-10 20:54:07,3.89e-9,2.49e-9
2021-12-10 20:55:07,3.87e-9,2.48e-9
2021-12-10 20:56:08,3.86e-9,2.47e-9
2021-12-10 20:57:08,3.84e-9,2.47e-9
